token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59
0,punct,0.00938972,0.8309819,-0.7684035,-0.97466797,0.49036562,0.6942989,1.317397,-1.7728344,2.6060312,-1.0714363,-0.8276631,2.4793575,-0.35703662,-0.08269969,-0.9429043,-0.41471776,-1.6523789,-1.0643669,-3.2241392,-0.043415174,0.6567699,1.6653776,-1.3370227,0.5442156,1.2435606,0.7174881,0.25266692,1.1394562,0.41667348,0.5367685,1.5621381,0.67141503,-0.5280691,-0.33231446,-0.0045402385,-2.557135,-0.025122948,-0.11992068,-0.6809761,1.6283091,-0.8120965,-1.5779456,1.1235372,2.383392,-0.019361278,2.9677389,-0.631338,-0.61299235,0.3977448,0.18382247,-1.2959924,0.69529665,0.13061382,-0.74536073,2.070146,-0.20352088,0.9850863,0.5377879,2.608637,1.1107016
1,punct,0.16121891,1.4527938,-0.7266286,0.38289526,-0.5838006,-0.44571388,-0.9136312,0.41480887,-0.85041326,0.69867045,0.95334077,1.5521877,0.69898254,-1.9388928,0.47481927,-0.10131134,-0.8998352,-1.2218457,0.45310622,-0.93974066,-0.8811358,0.7839873,0.29201984,1.750126,-0.32875702,0.17729633,1.7322494,-1.0171158,-1.3388625,1.567834,-0.017263396,0.16910636,-0.79537404,-2.2745306,-0.76153195,0.3874489,-1.0384816,-0.6263685,-0.6393231,1.1820766,-1.2593969,-1.4284719,-0.25214377,-0.4143809,1.7015475,-0.49240008,-1.0933999,0.18541712,1.4122244,-0.23360243,-0.50933987,-1.7267094,1.3630782,0.6182153,0.643924,1.7143984,-0.30196917,1.0641012,1.1733686,-0.3839463
2,punct,1.2681383,-0.46856946,0.5824264,0.8939885,-2.3428433,-0.06360021,-0.49816573,-1.549825,-1.0623364,0.9854409,1.1348256,2.1034915,0.20349248,1.2125716,-0.6720572,0.30991653,-1.6904762,0.5629388,-0.6408164,-1.0749557,-0.92370605,1.641897,1.7406619,-0.71818435,1.6330988,-0.12170788,0.68005586,-0.97013456,-0.89622027,0.56659913,1.3202149,-0.7535128,-0.4116804,0.27277973,-1.0122967,-1.251538,1.6999882,1.42923,0.9032025,2.1376746,0.21145187,-0.46708304,1.1765412,0.8995492,-0.46119002,0.78132325,-0.31304875,-1.5266496,-1.1104596,1.8857467,-0.32865965,-0.72766644,-0.86322784,0.6586035,-1.8727736,-0.49524426,1.285837,1.1184603,0.9939873,-0.7720211
3,punct,0.8666288,-0.3177805,-0.09426201,-0.16159603,-0.8589473,1.267835,0.7869433,-0.9052312,-0.09936168,-1.9416064,-1.225944,2.0741866,-1.0580899,-1.7368897,0.56289464,-0.25017557,0.94499725,-1.553976,0.8646665,-0.15203206,1.6178507,0.85220087,1.3285884,-0.95045525,2.128475,-1.5597724,-0.095142804,-2.1928346,0.22128737,-1.8200747,-0.3821543,0.9802844,1.2126036,-0.65010893,1.0001955,0.8724897,1.0135397,0.5407585,-0.12013169,-0.32945862,1.3635389,-1.6161085,0.24683459,0.55713457,-0.16878827,0.1145048,-0.4997119,0.031940006,0.22543742,0.8127847,0.4472564,-1.749655,-0.47746804,1.0351542,-0.24587166,0.656587,0.3967172,-0.9868714,0.46417123,0.9963252
4,punct,0.3131187,0.78344774,0.99515975,1.6517924,0.5572749,0.29180062,0.5770589,-1.2500877,-0.8375193,-0.9748489,0.5022814,-0.07168173,0.5167239,0.70588183,0.37100336,0.32678643,1.1166276,0.53460467,0.6752646,0.34562704,0.35296223,-1.01097,-0.2335393,-0.7239142,0.04408242,0.46048385,0.77126074,-0.033364184,-0.674674,1.2185156,0.13477291,-0.50988424,-1.2500942,0.14818975,0.31966236,0.18496484,-0.6722652,-0.45032975,-0.21417142,1.3194387,0.8972593,-1.062558,-0.32580474,1.8455855,-0.060640126,0.18901345,-0.33309013,-1.6481787,-0.7120102,-0.25925964,-0.35162747,-0.2668738,1.6895114,0.83197075,0.6224362,-0.12030112,-0.033307116,-0.50607395,1.202885,-2.4484887
5,punct,-0.8234985,-0.457072,-1.7122176,0.3143998,0.27548268,0.24286868,-0.09252925,-0.47516876,-1.0792248,-0.18688105,-1.0253178,-1.0062902,-0.040647946,-0.2608043,1.2246822,-0.78639734,1.1810493,-0.42408437,-0.910185,0.77214724,-0.8861197,0.045982957,0.57242,0.52309465,1.4001744,-0.26106447,0.19320677,0.8006151,0.13939287,0.54137915,0.26707956,-0.21213825,1.3034285,-0.7347628,-1.0140543,-1.1423581,0.19019516,-0.075823806,0.8220777,0.68297786,0.05162571,-0.12833723,0.31920686,-0.56632954,1.3961546,-1.0751059,-2.3965635,-0.84665656,2.067681,0.5971379,-0.5257059,-0.2852488,1.0251858,-0.18275501,-0.5317397,-1.1307185,-0.50639415,-0.26945406,0.5814477,-0.7301914
6,punct,0.6514782,-0.08674089,0.2748847,0.50795436,0.12776375,0.40604007,-0.5340034,-0.62579197,0.2672249,-0.0882858,-0.0388115,-0.112197794,0.16078839,0.303437,0.16818334,-0.14819503,-0.49769434,0.053655755,0.026539344,0.43016517,-0.07283113,-0.2100252,0.31373924,0.45226854,-0.21503313,-0.1348104,0.42422876,0.10301072,-0.12935026,-0.2857121,-0.02036239,-0.08356723,0.6452509,-0.18511759,-0.16113202,0.15146904,-0.33845112,-0.07080088,-0.06521529,-0.5255504,0.18034141,0.3469563,0.22935066,-0.056378227,-0.012463775,-0.16557868,-0.3272052,0.5483902,-0.07721545,-0.38819224,0.3784363,0.5656751,0.39486748,-0.26942086,-0.36428306,0.71089846,-0.46415463,0.19313641,-0.009330716,0.17136982
7,punct,-0.23053883,1.3864716,-1.3371431,0.9609459,1.2637186,0.52234805,-0.8984438,0.872408,-1.1374995,-0.8096625,0.39784822,1.9782858,0.2525234,0.9105698,0.5512614,1.1686249,0.022225844,-0.2080797,1.1494284,-1.2808052,-0.16841812,-0.7720579,-1.1268373,0.5435623,-2.2984102,-0.10353608,-0.045170862,0.7475481,0.9348984,-0.94375575,1.2600101,1.0157671,-1.6712358,-0.48419386,-2.0830312,1.4035488,-1.4467956,-0.78081375,2.5920804,-0.25671437,1.3709437,-0.069483094,0.30844864,0.15844055,0.7847797,-0.16133212,-0.17266601,-0.06985524,1.8201791,0.037785836,1.5683784,-0.67888767,1.04854,-0.4899944,0.25648743,0.5306897,-0.9537799,-0.61111057,-0.24781938,1.2368642
8,punct,1.2898479,-0.08774114,0.8244748,-1.034837,-1.1797967,-0.16112973,0.19445449,-0.732872,-0.010875914,-1.1861746,0.10132787,0.3892444,-0.26316586,0.671113,0.4144938,0.1386686,-1.8969157,1.536441,-0.0043113288,-0.1391328,0.021720396,-0.42058486,-0.6014892,0.28408468,-0.49941975,0.0288578,1.1247576,-0.5318866,-1.205495,-0.442462,0.4423461,-1.0175471,1.9263006,-1.3826331,-0.47112066,0.05687156,-0.15301432,1.3106104,-0.528487,-0.9794333,-1.2758768,0.19752145,0.39413324,1.0295149,0.20007463,-0.25793323,-0.7648766,0.75130045,-0.6162658,1.4696215,1.0126462,1.0757163,-0.60569406,-1.2219667,0.8238153,-0.20983313,-0.34257755,-0.9190963,1.9709208,-0.4558276
9,punct,-2.0371723,-1.4784851,1.0353205,-0.8252986,2.3779206,1.3523173,0.3056806,0.7533203,0.20427124,-0.06573977,-1.2772778,-0.77473885,-1.0473933,0.18871577,0.84381855,-0.51038533,0.38729775,0.6593123,0.5957525,0.3067977,-0.77791125,1.0812584,0.9260198,0.4679566,3.436189,1.044647,-0.50509614,-0.15199623,1.3773358,-1.293326,0.008994912,0.29414234,1.5092764,0.26543018,0.9511536,-1.5350149,0.13046014,0.37007958,0.6861111,0.9938566,-1.3390265,-0.2549804,1.6019996,-1.9229872,-0.04083982,1.5540673,0.4433233,1.1094776,-0.39265907,0.7438045,-0.14647828,1.3626331,1.3709955,-1.1066883,-0.8860885,-0.06235818,0.47642758,0.5685584,-0.40676388,0.42168477
